Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,91,8,Some Random Commen with Id 0
1,1,2,174,3,Some Random Commen with Id 1
2,1,2,48,6,Some Random Commen with Id 2
3,1,2,141,6,Some Random Commen with Id 3
4,1,2,113,7,Some Random Commen with Id 4
5,1,2,91,4,Some Random Commen with Id 5
6,1,2,48,6,Some Random Commen with Id 6
7,1,2,83,4,Some Random Commen with Id 7
8,1,2,34,8,Some Random Commen with Id 8
9,1,2,153,3,Some Random Commen with Id 9
10,2,0,85,6,Some Random Commen with Id 10
11,2,0,110,5,Some Random Commen with Id 11
12,2,0,81,4,Some Random Commen with Id 12
13,2,0,1,7,Some Random Commen with Id 13
14,2,0,196,9,Some Random Commen with Id 14
15,3,2,64,8,Some Random Commen with Id 15
16,3,2,162,3,Some Random Commen with Id 16
17,3,2,77,6,Some Random Commen with Id 17
18,3,2,80,8,Some Random Commen with Id 18
19,3,2,192,0,Some Random Commen with Id 19
20,3,2,2,8,Some Random Commen with Id 20
21,3,2,191,2,Some Random Commen with Id 21
22,3,2,29,5,Some Random Commen with Id 22
23,3,2,179,4,Some Random Commen with Id 23
24,4,5,120,8,Some Random Commen with Id 24
25,4,5,67,4,Some Random Commen with Id 25
26,6,8,35,1,Some Random Commen with Id 26
27,6,8,169,0,Some Random Commen with Id 27
28,6,8,163,6,Some Random Commen with Id 28
29,7,9,156,8,Some Random Commen with Id 29
30,7,9,123,1,Some Random Commen with Id 30
31,7,9,177,8,Some Random Commen with Id 31
32,7,9,96,0,Some Random Commen with Id 32
33,7,9,17,5,Some Random Commen with Id 33
34,8,4,57,4,Some Random Commen with Id 34
35,8,4,39,0,Some Random Commen with Id 35
36,8,4,171,0,Some Random Commen with Id 36
37,8,4,149,1,Some Random Commen with Id 37
38,8,4,131,4,Some Random Commen with Id 38
39,8,4,102,5,Some Random Commen with Id 39
40,9,8,84,6,Some Random Commen with Id 40
41,9,8,188,9,Some Random Commen with Id 41
42,9,8,76,7,Some Random Commen with Id 42
43,9,8,124,6,Some Random Commen with Id 43
44,9,8,53,2,Some Random Commen with Id 44
45,9,8,168,4,Some Random Commen with Id 45
46,9,8,70,3,Some Random Commen with Id 46
47,9,8,63,0,Some Random Commen with Id 47
48,9,8,172,1,Some Random Commen with Id 48
49,10,6,193,9,Some Random Commen with Id 49
50,10,6,98,6,Some Random Commen with Id 50
51,10,6,8,0,Some Random Commen with Id 51
52,12,5,7,0,Some Random Commen with Id 52
53,12,5,98,5,Some Random Commen with Id 53
54,13,9,99,6,Some Random Commen with Id 54
55,13,9,179,8,Some Random Commen with Id 55
56,13,9,27,5,Some Random Commen with Id 56
57,13,9,34,0,Some Random Commen with Id 57
58,13,9,168,5,Some Random Commen with Id 58
59,13,9,12,3,Some Random Commen with Id 59
60,13,9,113,5,Some Random Commen with Id 60
61,13,9,64,9,Some Random Commen with Id 61
62,14,3,17,0,Some Random Commen with Id 62
63,15,1,136,5,Some Random Commen with Id 63
64,15,1,178,9,Some Random Commen with Id 64
65,15,1,190,9,Some Random Commen with Id 65
66,15,1,38,2,Some Random Commen with Id 66
67,15,1,176,5,Some Random Commen with Id 67
68,15,1,106,5,Some Random Commen with Id 68
69,15,1,149,8,Some Random Commen with Id 69
70,15,1,80,7,Some Random Commen with Id 70
71,15,1,51,3,Some Random Commen with Id 71
72,16,8,165,7,Some Random Commen with Id 72
73,17,6,169,8,Some Random Commen with Id 73
74,17,6,167,8,Some Random Commen with Id 74
75,17,6,69,6,Some Random Commen with Id 75
76,17,6,52,0,Some Random Commen with Id 76
77,17,6,50,0,Some Random Commen with Id 77
78,17,6,2,8,Some Random Commen with Id 78
79,18,5,141,5,Some Random Commen with Id 79
80,18,5,18,7,Some Random Commen with Id 80
81,18,5,75,5,Some Random Commen with Id 81
82,18,5,60,1,Some Random Commen with Id 82
83,19,1,54,9,Some Random Commen with Id 83
84,21,0,175,9,Some Random Commen with Id 84
85,22,4,116,3,Some Random Commen with Id 85
86,22,4,18,8,Some Random Commen with Id 86
87,22,4,156,3,Some Random Commen with Id 87
88,22,4,193,8,Some Random Commen with Id 88
89,22,4,175,7,Some Random Commen with Id 89
90,22,4,6,0,Some Random Commen with Id 90
91,23,4,27,4,Some Random Commen with Id 91
92,23,4,20,9,Some Random Commen with Id 92
93,25,0,25,0,Some Random Commen with Id 93
94,25,0,6,7,Some Random Commen with Id 94
95,25,0,183,5,Some Random Commen with Id 95
96,26,1,106,4,Some Random Commen with Id 96
97,26,1,145,9,Some Random Commen with Id 97
98,26,1,114,1,Some Random Commen with Id 98
99,26,1,54,3,Some Random Commen with Id 99
100,26,1,8,6,Some Random Commen with Id 100
101,26,1,31,5,Some Random Commen with Id 101
102,26,1,176,8,Some Random Commen with Id 102
103,26,1,106,1,Some Random Commen with Id 103
